tweet_id	tweet
0	@SouthwestAir still waiting. Just hit one hour.
1	@SouthwestAir although I'm not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook
2	@SouthwestAir Hello - been on hold for extremely long time. Have confirmation # &amp; can't get boarding pass. Have tried numerous times!!
3	@SouthwestAir I'm teaching new #travelers how to research, #budget &amp; #save for a trip today! http://t.co/Qll48r57ep
4	@SouthwestAir Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!
5	@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care
6	@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.
7	@SouthwestAir my wife had been in group A in prev. flight but got bumped for some reason.  Alone with two kids. At least put her in group A
8	@SouthwestAir my flight was delayed 4 hrs. I'm 5 months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.
9	@SouthwestAir thank you so much completely made things right!
10	@SouthwestAir love them! Always get the best deals!
11	@SouthwestAir can you follow me so I can send you the info?
12	@SouthwestAir Been on hold 34 min so far trying to book seat for my infant. Price increased $42 in meantime. What do I do?
13	@SouthwestAir once again on Glassdoor's Best Places To Work snagging # 15 overall #notsurprising #LUVthem
14	@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit
15	@SouthwestAir thx. Make it right. Help Meagan Fouty Brancato fl#2771 dfw gate 4 preboard w/kids - b4 group A please. Please.
16	@SouthwestAir can you update me on the emergency landing in Jacksonville right now? #parentsonboard
17	@SouthwestAir I have been on hold for over 28 minutes  please help http://t.co/Fx9BIJlxAt
18	@SouthwestAir can y'all develop Ding for a chrome/Firefox browser extension? That would be swell
19	@SouthwestAir can take u to Midway-Chicago March 8th-April 6th. Can't make it then? @AmericanAir can get u to @fly2ohare year round. #FlyPBI
20	@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting
21	@SouthwestAir  thanks Southwest for saving our trip. my sweetheart isn't going to miss seeing #AltonBrownLive thanks to y'all! #SOhappy
22	@SouthwestAir can you have someone call me back? I have been on hold two times today for over 20 min and still haven't gotten through
23	@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24
24	@SouthwestAir never mind, I moved my flight to tomorrow. Thanks for the help!
25	.@SouthwestAir she needs a wheelchair at the gate for sure. What options does she have?
26	@SouthwestAir I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!
27	@SouthwestAir has grounded 2 flights b/c of equipment problems &amp; been rude to my wife, traveling alone w/our 2 young kids.  never again.
28	@SouthwestAir Do you promise to not unfollow me? 😉
29	@SouthwestAir Just DMed you my confirmation number.
30	@SouthwestAir oh look you just delayed our flight an additional half hour now arriving at 6 officially five hours after planned. 😡😡😡😡😤😤😤
31	@SouthwestAir weather bc of system outage. Hopefully everything goes smoothly now. Thank you for follow up
32	@SouthwestAir belt issues. Been a rough day for them. Worst part is traveling with 9 month old and having to wait outside in 85 degree
33	@SouthwestAir oh, is it only in Atlanta?
34	@SouthwestAir they were moved to the 210pm flight #4649. Main concern now is luggage arriving with them. They were told that SW was having
35	@SouthwestAir  I USED to always fly Southwest.
36	@SouthwestAir  got my bags 35 hours Late Flightr and an offer of $50 to go pick them up. Taxi costs $65 one way. Spent $200 for the inconvenience.
37	@SouthwestAir thx but I'll be expecting a credit for this leg.
38	@SouthwestAir sure, please follow me so I can do so?
39	@SouthwestAir  appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac
40	@SouthwestAir sent!
41	@SouthwestAir 20 minutes on hold waiting is ridiculous......
42	@SouthwestAir have u seen any of the messages the past hour ?
43	@SouthwestAir I'm following now
44	@SouthwestAir  THANK YOU for your awesome flights. Sweetheart got screwed on @FlyFrontier, managed to scramble and get a SW plane today. !!!
45	@SouthwestAir Thanks so much!
46	@SouthwestAir round-trip tickets just arrived for our auction at the Post-Masters Invitational! Thanks Southwest! http://t.co/mRfBjtePef
47	@SouthwestAir went to purchase a flight that I began processing not even 4 minutes earlier and the points had gone up - any help?
48	@SouthwestAir I'm so upset that my luggage was damaged and the rude employee at the Laguardia airport didn't help!
49	@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever
50	@SouthwestAir what is the status of the bag check area at FFL?
51	@SouthwestAir @heavenlychc9 I'd at least enjoy a free cocktail...or two.
52	@SouthwestAir I agree! RT @9NEWS: One airline is the fly-away favorite at DIA  #9NEWSBusiness http://t.co/o3WlaInImY
53	@SouthwestAir its flight #218 of that matters to you all. Hell next we all won't get our luggage properly transferred #facepalm #smh
54	@SouthwestAir your phone service sucks
55	@SouthwestAir my flight at BWI is delayed and I will miss my flight in Denver, is there a way to find out if they will hold the plane?
56	"@SouthwestAir ""Airport snow removal method #22..""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/7poFSXOjSY"
57	@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...
58	@SouthwestAir and now our arrival is delayed nearly 5hours. Yeah an entire day in an airport is not my idea of a stress less vacation #fail
59	@SouthwestAir oh and now your company has caused us to lose an entire day of our vacation in Cancun. De Boarded waiting for another plane
60	@SouthwestAir trying to change my reservation, been on hold for 45 minutes, and can't do it online-was directed to call. Help?
61	@SouthwestAir My first call got dropped. Waited 15 mins for the second but ran out of time. Will try again Late Flightr. No way to do this online?
62	"@SouthwestAir Yo, I'm trying to make a change to a reservation but whenever I select the flight it says, ""Unable to price"". Please help!"
63	@SouthwestAir great now we are all de boarding perfectly plane is shot. Fml. Plans are screwed. Thanks for nothing @SouthwestAir
64	@SouthwestAir Teyana Taylor Performing #MedusaFridays 2.27 Free Till11 http://t.co/qwFMoQ0dQl http://t.co/kbb0B5FxMK #TheMenOfBusiness
65	@SouthwestAir had to let us off the plane bc the toilets done even work! There goes my family vacay to playa del Carmen, Mexico! #neveragain
66	@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.
67	@SouthwestAir I was told by customer service that only customer relations can extend the expiration date of my unused travel funds.
